,customer_id,total_spending,average_order_value,average_discount_percentage,campaign_count,percentage_item_discounted,average_order_per_month,average_purchase_frequency,product_variety,checkout_count_last_1_year,last_checkout_day,last_login_day,login_count_last_10_days,login_count_last_60_days
0,299,1924.4078500738046,60.137745314806395,24.01676660735877,0.0,59.375,2.6666666666666665,9.709677419354838,15,32,9,1,34,245
1,305,613.3944531293791,51.11620442744826,19.44979712260758,1.0,66.66666666666666,1.0,22.727272727272727,6,12,78,9,6,43
2,346,1150.701299833706,22.562770584974626,24.505587189122195,7.0,50.98039215686274,4.25,6.6,18,51,0,6,13,89
3,462,8239.889542162071,31.093922800611587,29.487127180857566,18.0,63.39622641509434,22.083333333333332,0.9734848484848485,23,265,0,1,25,131
4,634,152.03445462415684,16.892717180461872,36.953038533555805,1.0,88.88888888888889,0.75,31.375,6,9,7,1,12,61
5,713,89243.58179859117,36.087174200805165,29.762244991946556,20.0,61.22118883946624,206.08333333333334,0.0048543689320388345,23,2473,0,1,16,72
6,715,109.08451098972962,12.120501221081069,23.28871048084719,2.0,55.55555555555556,0.75,28.75,6,9,75,192,0,0
7,782,6038.312240360241,28.216412338131967,29.177868664511557,14.0,58.87850467289719,17.833333333333332,1.2582159624413145,22,214,1,0,41,250
8,789,33.85359898853381,8.463399747133453,27.96527777777778,0.0,75.0,0.3333333333333333,73.66666666666667,4,4,103,256,0,0
9,903,5821.620401223226,39.33527298123801,28.039966894289694,12.0,59.45945945945946,12.333333333333334,1.9863945578231292,20,148,0,4,8,36
10,943,9.25672182811303,2.3141804570282574,48.80357142857143,1.0,75.0,0.3333333333333333,28.333333333333332,4,4,192,41,0,7
11,1069,340.1771311480515,85.04428278701288,41.201530612244895,2.0,100.0,0.3333333333333333,46.0,4,4,208,343,0,0
12,1229,497.19075230912,27.62170846161778,30.654889975646174,4.0,66.66666666666666,1.5,20.647058823529413,7,18,0,3,10,10
13,1411,2416.2597549810353,71.06646338179516,28.579271476873632,5.0,58.82352941176471,2.8333333333333335,8.484848484848484,15,34,52,36,3,27
14,1427,491.5233652426833,54.61370724918704,23.238740876324773,1.0,55.55555555555556,0.75,27.125,7,9,33,4,1,24
15,1608,1700.0666421689225,100.00392012758368,18.841583094770186,2.0,52.94117647058824,1.4166666666666667,11.9375,10,17,39,4,4,78
16,1638,123.07313822333224,30.76828455583306,26.65517108121591,0.0,75.0,0.3333333333333333,29.666666666666668,4,4,212,8,2,16
17,1655,5527.086149016873,29.399394409664218,32.512482164261,17.0,69.14893617021278,15.666666666666666,1.4919786096256684,22,188,3,1,17,194
18,1690,284.25376341407207,14.212688170703604,26.40767203800027,1.0,55.00000000000001,1.6666666666666667,15.31578947368421,12,20,61,350,0,0
19,1722,8888.439763576007,85.46576695746161,29.18314460571007,12.0,63.46153846153846,8.666666666666666,3.0679611650485437,20,104,0,1,12,74
20,1814,2496.0366594211473,71.31533312631849,21.769848973272357,4.0,51.42857142857142,2.9166666666666665,9.588235294117647,15,35,15,5,2,60
21,1971,600.3026924681892,30.01513462340946,19.089259091068236,2.0,45.0,1.6666666666666667,15.052631578947368,12,20,16,14,6,62
22,2003,1473.5287339856377,52.626026213772775,33.8422811132298,2.0,71.42857142857143,2.3333333333333335,12.37037037037037,13,28,13,9,3,13
23,2143,3514.5743932137093,46.86099190951612,30.837321939875928,11.0,61.33333333333333,6.25,4.243243243243243,14,75,6,2,20,147
24,2306,7920.5686071786695,76.15931353056413,28.754756409792883,12.0,59.61538461538461,8.666666666666666,3.0194174757281553,19,104,0,1,172,1070
25,2392,858.8375612703118,18.273139601495995,28.459565264774056,6.0,59.57446808510638,3.9166666666666665,7.326086956521739,18,47,0,1,25,212
26,2547,6537.247211305501,35.52851745274729,27.25935976131907,11.0,58.152173913043484,15.333333333333334,1.5245901639344261,21,184,0,1,19,89
27,2634,704.4021200929253,23.480070669764178,28.469606806587677,4.0,50.0,2.5,11.310344827586206,16,30,6,1,9,65
28,2692,652.2835842276048,163.0708960569012,31.25,2.0,50.0,0.3333333333333333,32.333333333333336,4,4,82,822,0,9
29,2695,1274.6093336405931,424.8697778801977,0.0,0.0,0.0,0.25,33.0,3,3,246,6,1,5
30,2709,6.35280488792282,3.17640244396141,45.5,0.0,50.0,0.16666666666666666,86.0,2,2,245,1305,0,1
31,2744,10902.175368556107,40.081527090279806,28.040547003161663,14.0,56.61764705882353,22.666666666666668,0.9040590405904059,22,272,0,2,17,70
32,2746,2417.5846573533713,36.083353094826435,28.342457447489288,5.0,59.70149253731343,5.583333333333333,4.803030303030303,17,67,3,4,19,108
33,2749,3279.722407339358,32.79722407339358,27.57321079437432,10.0,57.99999999999999,8.333333333333334,3.1616161616161618,20,100,2,1,21,76
34,2779,4811.589042034392,35.64140031136587,28.1900324077057,11.0,61.48148148148148,11.25,2.2761194029850746,20,135,0,1,21,171
35,2962,1481.3180824494423,64.40513401954097,22.449695629097825,6.0,52.17391304347826,1.9166666666666667,15.681818181818182,11,23,6,4,23,112
36,3334,148.79265565929035,9.919510377286024,20.613826518459955,3.0,46.666666666666664,1.25,24.071428571428573,9,15,15,13,2,27
37,3501,724.5987456324467,55.73836504864975,15.180381378194765,1.0,53.84615384615385,1.0833333333333333,27.0,8,13,29,8,2,6
38,4882,1038.4199889137326,11.537999876819251,25.72816613354263,5.0,52.22222222222223,7.5,3.4269662921348316,18,90,17,8,6,39
39,5093,230.17395474560752,15.344930316373835,36.715474979480796,4.0,73.33333333333333,1.25,22.785714285714285,10,15,14,817,4,18
40,5509,3364.545899015315,33.64545899015315,31.949377661503682,15.0,66.0,8.333333333333334,3.1414141414141414,18,100,0,1251,15,77
41,5751,3317.416961989051,33.174169619890506,33.548089218835585,12.0,66.0,8.333333333333334,3.1818181818181817,21,100,2,2,22,110
42,5844,789.8489028955088,46.46170017032404,31.42180421789411,3.0,58.82352941176471,1.4166666666666667,20.3125,12,17,0,3,7,32
43,5877,432.0966124602171,48.0107347178019,36.330259930289266,1.0,77.77777777777779,0.75,33.375,6,9,67,624,0,0
44,5901,713.242484071276,89.1553105089095,38.75609857457508,4.0,76.92307692307693,0.6666666666666666,20.416666666666668,12,8,0,4,14,51
45,6332,18393.20172023991,29.76246233048529,28.735161446031952,15.0,59.70873786407766,51.5,0.20421393841166938,22,618,31,5,2,48
46,6358,283.5110457837929,9.450368192793096,31.10007620655664,2.0,60.0,2.5,9.724137931034482,14,30,24,15,10,65
47,6653,8.731992600850777,2.9106642002835925,29.498746867167924,0.0,66.66666666666666,0.25,31.5,3,3,116,7,16,70
48,6890,1327.882585217895,30.179149664043067,24.795711599651668,3.0,59.09090909090909,3.6666666666666665,7.674418604651163,15,44,11,5,6,30
49,7125,824.6906121737181,82.46906121737182,15.554420235924024,0.0,50.0,0.8333333333333334,13.555555555555555,7,10,224,17,0,7
50,7329,3.0829788426684277,3.0829788426684277,75.18796992481201,0.0,100.0,0.08333333333333333,-1.0,1,1,326,21,0,2
51,7363,13557.30852832915,65.17936792465937,31.56809198022483,16.0,65.38461538461539,17.333333333333332,1.2801932367149758,22,208,11,1,8,168
52,7370,2256.301577613214,39.58423820374059,28.073799664304435,7.0,61.40350877192983,4.75,5.464285714285714,18,57,32,9,6,68
53,7493,1697.148711688538,48.48996319110108,29.04972174446242,1.0,56.75675675675676,2.9166666666666665,9.166666666666666,17,35,8,4,12,66
54,7691,155.80939094040198,10.387292729360132,25.423561866178552,2.0,53.333333333333336,1.25,10.642857142857142,10,15,200,31,0,1
55,7796,777.6222447822919,27.772223027938995,25.759270349318875,2.0,67.85714285714286,2.3333333333333335,12.296296296296296,13,28,11,4,25,111
56,8228,10.553752826063938,5.276876413031969,67.1312061165336,0.0,100.0,0.16666666666666666,57.0,2,2,123,106,0,0
57,8375,655.3759054304026,32.768795271520126,27.520312806923574,1.0,60.0,1.6666666666666667,17.0,10,20,20,2,8,24
58,8427,141.12102093311495,14.112102093311496,25.841616002671874,2.0,70.0,0.8333333333333334,29.666666666666668,8,10,80,8,4,17
59,8574,3659.0854452257427,29.040360676394783,25.348917670922887,4.0,50.79365079365079,10.5,2.392,21,126,7,285,9,71
60,8896,852.156216717842,31.561341359920075,30.75225754562259,3.0,74.07407407407408,2.25,11.884615384615385,16,27,27,8,8,90
61,9584,75.8817630902036,8.431307010022623,37.03037730943599,2.0,80.0,0.75,35.111111111111114,9,9,0,2,10,18
