,main_category,order_time,avg_checkout_price,avg_additional_discount,day_of_week,week,month,is_weekend,products_discounted_percentage,campaign_percentage,avg_discount_percentage,daily_sales
0,Automotive,2019-01-01,0.8501547717661421,0.0,1.0,1.0,1.0,0.0,50.0,0.0,33.56111111111111,6
1,Automotive,2019-01-02,0.28494198394359704,0.0,2.0,1.0,1.0,0.0,50.0,0.0,17.5,2
2,Automotive,2019-01-03,0.6639303931887965,0.0,3.0,1.0,1.0,0.0,60.0,0.0,40.82333333333334,5
3,Automotive,2019-01-04,11.91840471637929,0.0,4.0,1.0,1.0,0.0,42.857142857142854,0.0,21.636221261192354,14
4,Automotive,2019-01-05,3.698536571187746,0.0,5.0,1.0,1.0,1.0,33.33333333333333,0.0,12.94779891554085,9
5,Automotive,2019-01-06,7.774573694266767,0.0,6.0,1.0,1.0,1.0,88.88888888888889,0.0,48.960540241674984,9
6,Automotive,2019-01-07,5.64901375818235,0.0,0.0,1.0,1.0,0.0,25.0,0.0,4.16666666666667,4
7,Automotive,2019-01-08,11.003846976293241,0.0,1.0,2.0,1.0,0.0,33.33333333333333,0.0,28.893138707968095,15
8,Automotive,2019-01-09,9.649323390689492,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7
9,Automotive,2019-01-10,12.654651447867648,0.0,3.0,2.0,1.0,0.0,63.63636363636363,0.0,33.656859940751914,11
10,Automotive,2019-01-11,1.2658897975199146,0.0,4.0,2.0,1.0,0.0,64.28571428571429,0.0,42.48457177383067,14
11,Automotive,2019-01-12,4.383707858170516,0.0,5.0,2.0,1.0,1.0,31.25,0.0,23.818737991427728,16
12,Automotive,2019-01-13,1.3540583212401671,0.0,6.0,2.0,1.0,1.0,43.75,0.0,34.190293329333215,16
13,Automotive,2019-01-14,3.3307738232407673,0.0,0.0,2.0,1.0,0.0,28.57142857142857,0.0,14.840353645194792,7
14,Automotive,2019-01-15,3.006905338758427,0.0,1.0,3.0,1.0,0.0,57.14285714285714,0.0,32.43750000000001,7
15,Automotive,2019-01-16,6.235506366299408,0.0,2.0,3.0,1.0,0.0,50.0,0.0,29.363425925925924,6
16,Automotive,2019-01-17,6.605938359997615,0.0,3.0,3.0,1.0,0.0,42.857142857142854,0.0,26.73058497694837,7
17,Automotive,2019-01-18,0.8834758562273057,0.0,4.0,3.0,1.0,0.0,80.0,0.0,50.78812282693907,10
18,Automotive,2019-01-19,2.793365678660181,0.0,5.0,3.0,1.0,1.0,55.00000000000001,0.0,30.699213405387088,20
19,Automotive,2019-01-20,11.125901608527933,0.0,6.0,3.0,1.0,1.0,45.45454545454545,0.0,23.0402557781088,11
20,Automotive,2019-01-21,4.966172163277277,0.0,0.0,3.0,1.0,0.0,45.45454545454545,0.0,21.872423306457723,11
21,Automotive,2019-01-22,13.485696846642043,0.0,1.0,4.0,1.0,0.0,83.33333333333334,0.0,42.32679198139976,6
22,Automotive,2019-01-23,15.945073150679812,0.0,2.0,4.0,1.0,0.0,50.0,0.0,37.57328308207705,4
23,Automotive,2019-01-24,2.964988294368771,0.0,3.0,4.0,1.0,0.0,33.33333333333333,0.0,12.616339545535263,9
24,Automotive,2019-01-25,8.222975524715073,0.0,4.0,4.0,1.0,0.0,36.36363636363637,0.0,30.26518485328554,11
25,Automotive,2019-01-26,6.910491885641208,0.0,5.0,4.0,1.0,1.0,58.333333333333336,0.0,35.76706349206349,12
26,Automotive,2019-01-27,11.2491597864576,0.0,6.0,4.0,1.0,1.0,53.84615384615385,0.0,37.233690749350174,13
27,Automotive,2019-01-28,4.02922646147878,0.0,0.0,4.0,1.0,0.0,14.285714285714285,0.0,8.928571428571429,7
28,Automotive,2019-01-29,7.434739165753933,0.0,1.0,4.0,1.0,0.0,57.14285714285714,0.0,49.48914213926777,7
29,Automotive,2019-01-30,0.3653900850569987,0.0,2.0,4.0,1.0,0.0,50.0,0.0,34.20699672667758,6
30,Automotive,2019-01-31,31.254198501129537,0.0,3.0,4.0,1.0,0.0,28.57142857142857,0.0,8.282820590922936,7
31,Automotive,2019-02-01,17.781625446097696,0.0,4.0,1.0,2.0,0.0,40.0,0.0,22.498004422154892,10
32,Automotive,2019-02-02,10.78973392266325,0.0,5.0,1.0,2.0,1.0,61.111111111111114,0.0,33.53613244890462,18
33,Automotive,2019-02-03,7.86498494414551,0.0,6.0,1.0,2.0,1.0,58.82352941176471,0.0,40.220782660544664,17
34,Automotive,2019-02-04,0.9547892052142826,0.0,0.0,1.0,2.0,0.0,60.0,0.0,31.2893531829702,5
35,Automotive,2019-02-05,4.573202062793117,48.05555555555556,1.0,1.0,2.0,0.0,100.0,100.0,59.62105285453057,36
36,Automotive,2019-02-06,9.43355935913189,0.0,2.0,1.0,2.0,0.0,71.42857142857143,0.0,33.86102647869493,7
37,Automotive,2019-02-07,13.540193947396283,0.0,3.0,1.0,2.0,0.0,66.66666666666666,0.0,31.671101154181088,12
38,Automotive,2019-02-08,3.0908557345421492,0.0,4.0,2.0,2.0,0.0,52.94117647058824,0.0,19.527715982328274,17
39,Automotive,2019-02-09,8.526149266001905,0.0,5.0,2.0,2.0,1.0,60.0,0.0,37.082857142857144,10
40,Automotive,2019-02-10,5.983661888967727,0.0,6.0,2.0,2.0,1.0,30.76923076923077,0.0,23.422624434389142,13
41,Automotive,2019-02-11,8.813738251982137,0.0,0.0,2.0,2.0,0.0,33.33333333333333,0.0,26.502088938902443,12
42,Automotive,2019-02-12,9.240839815893223,0.0,1.0,2.0,2.0,0.0,40.0,0.0,23.617193061157003,10
43,Automotive,2019-02-13,1.1522244159467858,0.0,2.0,2.0,2.0,0.0,40.0,0.0,16.146889632107026,5
44,Automotive,2019-02-14,3.276054285340591,0.0,3.0,2.0,2.0,0.0,40.0,0.0,21.046720575022466,10
